name,Atoms,Count,Mean /°,Median /°,Sam. std. dev.,Pop. std. dev.,Std. error,Skewness
Na2S@FeN4,Fe–Na–Na,1,117.88,117.88,nan,0.00,nan,nan
Na2S@FeN4-PC,S–Na–Na,2,36.34,36.34,0.86,0.60,0.60,nan
Na2S@FeN4-PC,Fe–Na–Na,1,107.99,107.99,nan,0.00,nan,nan
Na2S@FeN4-PC,Fe–Na–S,1,144.54,144.54,nan,0.00,nan,nan
Na2S@FeN4-PC,N–Na–Na,2,83.45,83.45,10.70,7.56,7.56,nan
Na2S@FeN4-PC,N–Na–S,2,117.66,117.66,9.60,6.79,6.79,nan
Na2S@FeN4-PC,N–Na–Fe,2,34.21,34.21,0.14,0.10,0.10,nan
Na2S@FeN4-PC,N–Na–N,1,44.60,44.60,nan,0.00,nan,nan
Na2S@FeN4-PC,C–Na–Na,11,86.39,83.02,21.58,20.57,6.51,0.21
Na2S@FeN4-PC,C–Na–Fe,4,47.14,47.20,6.80,5.89,3.40,-0.00
Na2S@FeN4-PC,C–Na–N,8,38.48,35.05,19.02,17.79,6.72,0.33
Na2S@FeN4-PC,C–Na–C,27,44.48,41.76,16.24,15.94,3.13,0.46
Na2S@FeN4-PC,Na–S–Na,1,107.33,107.33,nan,0.00,nan,nan
Na2S@FeN4-PC,N–Fe–Na,4,90.01,90.01,16.15,13.99,8.08,-0.00
Na2S@FeN4-PC,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S@FeN4-PC,C–Na–S,11,118.29,116.95,20.03,19.10,6.04,0.29
Na2S@FeN4-PC,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S@FeN4-PC,C–Fe–Na,10,90.00,90.01,14.77,14.01,4.67,-0.00
Na2S@FeN4-PC,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.13
Na2S@FeN4-PC,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S@FeN4-PC,C–C–Na,25,93.20,94.37,21.00,20.58,4.20,-0.26
Na2S@FeN4-PC,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S@FeN4-PC,N–C–Na,4,57.09,57.21,3.65,3.16,1.83,-0.03
Na2S@FeN4-PC,C–C–C,116,120.00,120.00,0.00,0.00,0.00,-0.46
Na2S@FeN4-PC,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.71
Na2S@FeN4-PC,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S@FeN4-PC,C–N–Na,4,101.36,101.09,4.60,3.98,2.30,0.05
Na2S@FeN4-PC,Fe–N–Na,2,69.76,69.76,0.57,0.40,0.40,nan
Na2S@FeN4-PC,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S@FeN4-PC,Fe–C–Na,4,53.92,54.02,0.39,0.34,0.20,-1.06
Na2S@FeN4-glyme,C–N–Na,4,101.26,99.91,10.85,9.39,5.42,0.22
Na2S@FeN4-glyme,C–N–Fe,8,120.00,120.00,20.43,19.11,7.22,0.00
Na2S@FeN4-glyme,C–N–C,4,120.00,120.00,0.00,0.00,0.00,-1.71
Na2S@FeN4-glyme,Na–C–Na,2,73.59,73.59,1.33,0.94,0.94,nan
Na2S@FeN4-glyme,Fe–C–Na,7,73.22,54.91,34.84,32.25,13.17,1.25
Na2S@FeN4-glyme,C–C–Na,32,92.06,93.00,23.36,22.99,4.13,0.04
Na2S@FeN4-glyme,N–C–Fe,8,34.76,34.75,12.13,11.34,4.29,0.00
Na2S@FeN4-glyme,C–C–Fe,22,114.55,96.60,44.90,43.87,9.57,0.15
Na2S@FeN4-glyme,C–C–N,16,120.00,120.00,0.00,0.00,0.00,-1.13
Na2S@FeN4-glyme,C–C–C,116,120.00,120.00,0.00,0.00,0.00,-0.46
Na2S@FeN4-glyme,Fe–N–Na,2,72.23,72.23,2.81,1.99,1.99,nan
Na2S@FeN4-glyme,N–C–Na,5,70.29,61.54,34.66,31.00,15.50,2.00
Na2S@FeN4-glyme,C–Fe–C,45,100.00,97.35,49.37,48.82,7.36,0.07
Na2S@FeN4-glyme,S–Na–Na,2,35.71,35.71,0.21,0.15,0.15,nan
Na2S@FeN4-glyme,C–Fe–Na,10,90.01,90.01,21.22,20.13,6.71,-0.00
Na2S@FeN4-glyme,N–Fe–N,6,119.98,98.21,47.02,42.93,19.20,0.86
Na2S@FeN4-glyme,N–Fe–Na,4,90.01,90.01,23.10,20.01,11.55,-0.00
Na2S@FeN4-glyme,Na–S–Na,1,108.58,108.58,nan,0.00,nan,nan
Na2S@FeN4-glyme,C–Na–C,38,47.44,44.63,18.11,17.87,2.94,0.30
Na2S@FeN4-glyme,C–Na–N,10,43.08,44.66,18.73,17.76,5.92,0.16
Na2S@FeN4-glyme,C–Na–Fe,5,54.97,58.77,10.35,9.26,4.63,-0.22
Na2S@FeN4-glyme,C–Na–S,13,111.67,106.71,21.95,21.09,6.09,0.36
Na2S@FeN4-glyme,N–Na–N,1,50.25,50.25,nan,0.00,nan,nan
Na2S@FeN4-glyme,N–Na–Fe,2,37.62,37.62,0.69,0.49,0.49,nan
Na2S@FeN4-glyme,N–Na–S,2,122.31,122.31,9.78,6.92,6.92,nan
Na2S@FeN4-glyme,N–Na–Na,2,90.36,90.36,11.66,8.25,8.25,nan
Na2S@FeN4-glyme,Fe–Na–S,1,152.93,152.93,nan,0.00,nan,nan
Na2S@FeN4-glyme,Fe–Na–Na,1,117.77,117.77,nan,0.00,nan,nan
Na2S@FeN4-glyme,C–Fe–N,40,90.00,89.97,50.01,49.38,7.91,0.00
Na2S@FeN4-glyme,C–Na–Na,13,80.11,74.64,24.13,23.18,6.69,0.26
